Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS-Dropdown,Chrome 72.0.3626.109,,2019-02-25 22:09:18,2019-02-25 22:10:35,1m - 17.226s,PASSED
,,,,,,
Test Cases/Dropdown AngularJS,Chrome 72.0.3626.109,,2019-02-25 22:09:18,2019-02-25 22:10:35,1m - 17.027s,PASSED
"openBrowser(""https://material.angularjs.org/latest/demo/select"")",Chrome 72.0.3626.109,Open AngularJS page that tagname of dropdown is md-select,2019-02-25 22:09:18,2019-02-25 22:09:24,5.316s,PASSED
maximizeWindow(),Chrome 72.0.3626.109,,2019-02-25 22:09:24,2019-02-25 22:09:25,1.135s,PASSED
"kms.AngularJS.selectAllOption(findTestObject(""Md-Option/cbo_CheckboxOptionHeader""), true)",Chrome 72.0.3626.109,Select All items: Select Header section,2019-02-25 22:09:25,2019-02-25 22:09:28,3.599s,PASSED
"kms.AngularJS.verifyOptionSelectedByName(findTestObject(""Md-Option/cbo_CheckboxOptionHeader""), ""Corn, Onions, Kale, Arugula, Peas, Zucchini"")",Chrome 72.0.3626.109,,2019-02-25 22:09:28,2019-02-25 22:09:28,0.062s,PASSED
"kms.AngularJS.selectOptionByIndex(findTestObject(""Md-Option/cbo_CheckboxOptionGroup""), ""2-5"", true)",Chrome 72.0.3626.109,Select Checkbox items by Index from 2 to 5: Option Groups section,2019-02-25 22:09:28,2019-02-25 22:09:32,3.754s,PASSED
"kms.AngularJS.verifyOptionSelectedByName(findTestObject(""Md-Option/cbo_CheckboxOptionGroup""), ""Sausage, Ground Beef, Bacon, Mushrooms"")",Chrome 72.0.3626.109,,2019-02-25 22:09:32,2019-02-25 22:09:32,0.068s,PASSED
"kms.AngularJS.selectOptionByIndex(findTestObject(""Md-Option/cbo_CheckboxOptionGroup""), ""3,4"", false)",Chrome 72.0.3626.109,Deselect Checkbox items by Index : 3 and 4: Option Groups section,2019-02-25 22:09:32,2019-02-25 22:09:36,3.478s,PASSED
"kms.AngularJS.verifyOptionSelectedByName(findTestObject(""Md-Option/cbo_CheckboxOptionGroup""), ""Sausage, Mushrooms"")",Chrome 72.0.3626.109,,2019-02-25 22:09:36,2019-02-25 22:09:36,0.077s,PASSED
"kms.AngularJS.selectOptionByIndex(findTestObject(""Md-Option/cbo_CheckboxOptionGroup""), 5, false)",Chrome 72.0.3626.109,Deselect Checkbox item by Index at 5: Option Groups section,2019-02-25 22:09:36,2019-02-25 22:09:39,3.357s,PASSED
"kms.AngularJS.verifyOptionSelectedByName(findTestObject(""Md-Option/cbo_CheckboxOptionGroup""), ""Sausage"")",Chrome 72.0.3626.109,,2019-02-25 22:09:39,2019-02-25 22:09:39,0.066s,PASSED
"kms.AngularJS.selectOptionByName(findTestObject(""Md-Option/cbo_CheckboxOptionHeader""), ""Kale,Peas"", false)",Chrome 72.0.3626.109,"Deselect Checkbox items by Name: Kale,Peas: Select Header section",2019-02-25 22:09:39,2019-02-25 22:09:43,3.487s,PASSED
"kms.AngularJS.verifyOptionSelectedByName(findTestObject(""Md-Option/cbo_CheckboxOptionHeader""), ""Corn, Onions, Arugula, Zucchini"")",Chrome 72.0.3626.109,,2019-02-25 22:09:43,2019-02-25 22:09:43,0.064s,PASSED
"kms.AngularJS.selectOptionByIndex(findTestObject(""Md-Option/cbo_State""), 4)",Chrome 72.0.3626.109,Select items by Index at 4: Basic Usage/Account Preferences section,2019-02-25 22:09:43,2019-02-25 22:09:46,3.330s,PASSED
"kms.AngularJS.verifyOptionSelectedByName(findTestObject(""Md-Option/cbo_State""), ""AZ"")",Chrome 72.0.3626.109,,2019-02-25 22:09:46,2019-02-25 22:09:46,0.072s,PASSED
"kms.AngularJS.selectOptionByName(findTestObject(""Md-Option/cbo_Armor""), ""Plate"")",Chrome 72.0.3626.109,Select items by Name: Plate: Basic Usage/Battle Preferences section,2019-02-25 22:09:46,2019-02-25 22:09:49,3.312s,PASSED
"kms.AngularJS.verifyOptionSelectedByName(findTestObject(""Md-Option/cbo_Armor""), ""Plate"")",Chrome 72.0.3626.109,,2019-02-25 22:09:49,2019-02-25 22:09:49,0.072s,PASSED
"kms.AngularJS.selectOptionByName(findTestObject(""Md-Option/cbo_SelectedItem""), ""Item 2"")",Chrome 72.0.3626.109,Select items by Name: Item 2: Selected Text section,2019-02-25 22:09:49,2019-02-25 22:09:53,3.383s,PASSED
